date,value
2019-05-08,105.0
2019-05-09,4169.0
2019-05-10,2807.0
2019-05-11,3685.0
2019-05-12,4624.0
2019-05-13,4747.0
2019-05-14,4793.0
2019-05-15,4683.0
2019-05-16,4291.0
2019-05-17,5030.0
2019-05-18,2409.0
2019-05-19,3657.0
2019-05-20,4943.0
2019-05-21,5595.0
2019-05-22,6399.0
2019-05-23,1615.0
2019-05-24,1347.0
2019-05-25,1414.0
2019-05-26,1591.0
2019-05-27,2649.0
2019-05-28,4699.0
2019-05-29,4969.0
2019-05-30,4454.0
2019-05-31,4738.0
2019-06-01,1805.0
2019-06-02,5488.0
2019-06-03,4333.0
2019-06-04,3033.0
2019-06-05,1613.0
2019-06-06,3735.0
2019-06-07,4819.0
2019-06-08,1356.0
2019-06-09,2390.0
2019-06-10,151.0
2019-06-11,1196.0
2019-06-12,3310.0
2019-06-13,3209.0
2019-06-14,5628.0
2019-06-15,1042.0
2019-06-16,694.0
2019-06-17,4878.0
2019-06-18,3969.0
2019-06-19,3953.0
2019-06-20,4936.0
2019-06-21,4144.0
2019-06-22,129.0
2019-06-23,3621.0
2019-06-24,4635.0
2019-06-25,4986.0
2019-06-26,6267.0
2019-06-27,5548.0
2019-06-28,5051.0
2019-06-29,3798.0
2019-06-30,326.0
2019-07-01,5545.0
2019-07-02,4604.0
2019-07-03,4662.0
2019-07-04,5589.0
2019-07-05,3895.0
2019-07-06,837.0
2019-07-07,1218.0
2019-07-08,4429.0
2019-07-09,4448.0
2019-07-10,5888.0
2019-07-11,4607.0
2019-07-12,6330.0
2019-07-13,2446.0
2019-07-14,110.0
2019-07-15,2495.0
2019-07-16,3607.0
2019-07-17,5228.0
2019-07-18,4685.0
2019-07-19,4700.0
2019-07-20,3132.0
2019-07-21,639.0
2019-07-22,6071.0
2019-07-23,6496.0
2019-07-24,6367.0
2019-07-25,3223.0
2019-07-26,4730.0
2019-07-27,1183.0
2019-07-28,549.0
2019-07-29,4309.0
2019-07-30,2695.0
2019-07-31,3608.0
2019-08-01,5293.0
2019-08-02,3559.0
2019-08-03,3074.0
2019-08-04,727.0
2019-08-05,6891.0
2019-08-06,3823.0
2019-08-07,5896.0
2019-08-08,4430.0
2019-08-09,4536.0
2019-08-10,996.0
2019-08-11,1929.0
2019-08-12,2095.0
2019-08-13,8488.0
2019-08-14,3257.0
2019-08-15,2332.0
2019-08-16,3674.0
2019-08-17,3308.0
2019-08-18,967.0
2019-08-19,4580.0
2019-08-20,5075.0
2019-08-21,4129.0
2019-08-22,5279.0
2019-08-23,3841.0
2019-08-24,1871.0
2019-08-25,1810.0
2019-08-26,5392.0
2019-08-27,4890.0
2019-08-28,4136.0
2019-08-29,5340.0
2019-08-30,7705.0
2019-08-31,3014.0
2019-09-01,1881.0
2019-09-02,1600.0
2019-09-03,4317.0
2019-09-04,2217.0
2019-09-05,6319.0
2019-09-06,3184.0
2019-09-07,1719.0
2019-09-08,1279.0
2019-09-09,1267.0
2019-09-10,1872.0
2019-09-11,2593.0
2019-09-12,4159.0
2019-09-13,126.0
2019-09-14,160.0
2019-09-15,261.0
2019-09-16,5542.0
2019-09-17,3084.0
2019-09-18,3118.0
2019-09-19,5326.0
2019-09-20,3760.0
2019-09-21,679.0
2019-09-22,166.0
2019-09-23,7469.0
2019-09-24,5601.0
2019-09-25,5438.0
2019-09-26,1610.0
2019-09-27,4779.0
2019-09-29,1136.0
2019-09-30,3310.0
2019-10-01,5464.0
2019-10-02,2096.0
2019-10-03,6969.0
2019-10-04,13729.0
2019-10-05,10726.0
2019-10-06,7524.0
2019-10-07,5920.0
2019-10-08,1267.0
2019-10-09,4642.0
2019-10-10,6068.0
2019-10-11,4228.0
2019-10-12,89.0
2019-10-13,6587.0
2019-10-14,3583.0
2019-10-15,4729.0
2019-10-16,4971.0
2019-10-17,5018.0
2019-10-18,3997.0
2019-10-19,2946.0
2019-10-20,2232.0
2019-10-21,3748.0
2019-10-22,4633.0
2019-10-23,3271.0
2019-10-24,4202.0
2019-10-25,3659.0
2019-10-26,239.0
2019-10-27,180.0
2019-10-28,424.0
2019-10-29,4529.0
2019-10-30,5184.0
2019-10-31,7298.0
2019-11-01,4433.0
2019-11-02,7858.0
2019-11-03,3648.0
2019-11-04,3865.0
2019-11-05,3771.0
2019-11-06,3564.0
2019-11-07,5105.0
2019-11-08,3648.0
2019-11-09,1791.0
2019-11-10,2264.0
2019-11-11,4796.0
2019-11-12,4466.0
2019-11-13,1203.0
2019-11-14,5723.0
2019-11-15,4635.0
2019-11-16,1332.0
2019-11-17,2584.0
2019-11-18,2727.0
2019-11-19,3321.0
2019-11-20,5093.0
2019-11-21,4786.0
2019-11-22,3148.0
2019-11-23,765.0
2019-11-24,1651.0
2019-11-25,5736.0
2019-11-26,3428.0
2019-11-27,3577.0
2019-11-28,112.0
2019-11-29,2379.0
2019-11-30,199.0
2019-12-01,1078.0
2019-12-02,4074.0
2019-12-03,5569.0
2019-12-04,2816.0
2019-12-05,5219.0
2019-12-06,5304.0
2019-12-07,309.0
2019-12-08,1944.0
2019-12-09,5425.0
2019-12-10,6043.0
2019-12-11,3332.0
2019-12-12,4240.0
2019-12-13,5697.0
2019-12-14,381.0
2019-12-15,2974.0
2019-12-16,5779.0
2019-12-17,6111.0
2019-12-18,6300.0
2019-12-19,5608.0
2019-12-20,5204.0
2019-12-21,4210.0
2019-12-22,1025.0
2019-12-23,4353.0
2019-12-24,5148.0
2019-12-25,820.0
2019-12-26,1867.0
2019-12-27,6531.0
2019-12-28,1855.0
2019-12-29,3034.0
2019-12-30,978.0
2019-12-31,5438.0
2020-01-01,656.0
2020-01-02,4641.0
2020-01-03,5784.0
2020-01-04,747.0
2020-01-05,1413.0
2020-01-06,4396.0
2020-01-07,3122.0
2020-01-08,1529.0
2020-01-09,5376.0
2020-01-10,5011.0
2020-01-11,2388.0
2020-01-12,508.0
2020-01-13,3910.0
2020-01-14,6352.0
2020-01-15,7262.0
2020-01-16,3118.0
2020-01-17,5063.0
2020-01-18,1441.0
2020-01-19,1586.0
2020-01-20,2696.0
2020-01-21,5094.0
2020-01-22,4083.0
2020-01-23,4738.0
2020-01-24,4775.0
2020-01-25,1208.0
2020-01-26,5232.0
2020-01-27,2913.0
2020-01-28,5263.0
2020-01-29,4924.0
2020-01-30,4090.0
2020-01-31,6888.0
2020-02-01,2222.0
2020-02-02,2952.0
2020-02-03,3960.0
2020-02-04,4428.0
2020-02-05,3676.0
2020-02-06,6247.0
2020-02-07,1782.0
2020-02-08,631.0
2020-02-09,747.0
2020-02-10,5851.0
2020-02-11,2391.0
2020-02-12,2800.0
2020-02-13,4598.0
2020-02-14,4930.0
2020-02-15,605.0
2020-02-16,3640.0
